Discussed	Authors	Title	Year	Abstract
1	Cherchi G.; Manconi A.; Vargiu E.; Deledda D.	Text categorization using a Personalized, Adaptive, and Cooperative MultiAgent System	2005	In this paper, a multiagent system for supporting users in retrieving information from heterogeneous data sources, and classifying them according to users' personal preferences, is presented. The system is built upon PACMAS, a generic architecture that supports the implementation of Personalized, Adaptive, and Cooperative MultiAgent Systems. Preliminary tests have been conducted to evaluate the effectiveness of the system in retrieving and classifying newspaper articles. Results show an avarage accuracy of about 80%.
1	Morreale V.; Bonura S.; Centineo F.; Rossi A.; Cossentino M.; Gaglio S.	PRACTIONIST: Implementing PRACTIcal reasONIng sySTems	2005	One of the best known approaches to the development of rational agents is the BDI (Belief-Desire-Intention) architecture. In this paper we propose a new framework, PRACTIONIST (PRACTIcal reasONIng sySTem), to support the development of BDI agents in Java (using JADE) with a Prolog belief base. In PRACTIONIST we adopt a goal-oriented approach with a clear separation between the deliberation and the means-ends reasoning, and then between the states of affairs to pursue and the way to do it. Besides, PRACTIONIST allows developers to implement agents that are able to reason about their beliefs and the other agents' beliefs, expressed by modal logic formulas. Our approach also includes a specific tool that provides the developer with the possibility to effectively monitor the components involved in the execution cycle of an agent.
	Roggero D.; Patrone F.; Mascardi V.	Designing and implementing electronic auctions in a multiagent system environment	2005	Agent-Mediated Electronic Commerce is gaining a wide consensus both from the academia and from the industry, since it provides the right abstractions, models and tools to face the challenges that electronic commerce raises. According to C.Sierra, e-commerce can be described as organization + mechanism + trust, where mechanism is concerned with the rules that govern the interaction among agents in such a way that certain properties can be guaranteed. This paper describes the design and implementation of a library of customizable agents for simulating auction mechanisms. The purpose of the library is to provide a support to the correct engineering of mechanisms in the e-commerce setting, by providing a flexible tool for the quick prototyping of realistic auctions to the auctions' developers. The auction mechanisms that are included in our library respect the Revenue Equivalence Theorem, one of the most important theorems of the formal theory of auctions.
	Fortino G.; Garro A.; Russo W.	A discrete-event simulation framework for the validation of agent-based and multi-agent systems	2005	Simulation of agent-based systems is an inherent requirement of the development process which provides developers with a powerful means to validate both agents' dynamic behavior and the agent system as a whole and investigate the implications of alternative architectures and coordination strategies. In this paper, we present a discrete-event simulation framework which supports the validation activity of agent-based and multiagent systems which are modeled and programmed as a set of event-driven agents by means of the Distilled StateCharts formalism and related programming tools. The simulation framework is equipped with a discrete-event simulation engine which provides support for the execution of agents by interleaving their events processing, the exchange of events among agents, the migration of agents, and the clustering of agents into agent servers interconnected by a logical network. Using this framework, an agent-based complex system can be easily validated and evaluated by defining a simulator program along with suitable test cases and performance measurements.
	Bouquet P.; Kuper G.; Zanobini S.	Asking and answering queries semantically	2005	In this paper we propose a new method, called SEMQUERY, for querying information sources whose data are organized according to different schemata. The method is based on the idea of semantic elicitation, namely a process which takes in input the structural part of a query (e.g. the XPath part of an XQuery) and returns an expression in a logical language which represent the meaning of the query in a form which ideally is independent from its original syntactic formulation. Since the same process of elicitation can be performed on any path of schemata used to organize data, the decision on whether there is any logical relation between a query and a path in the schema is made via logical reasoning.
	Costantini S.; Tocchio A.	Learning by knowledge exchange in logical agents	2005	In this paper we introduce a form of cooperation among agents based on exchanging sets of rules. In principle, the approach extends to agent societies a feature which is proper of human societies, i.e., the cultural transmission of abilities. However, acquiring knowledge from untrustworthy agents should be avoided, and the new knowledge should be evaluated according to its usefulness. After discussing the general principles of our approach, we present a prototypical implementation.
	Bergenti F.	Secure, trusted and privacy-aware interactions in large-scale multiagent systems	2005	One of the inherent problems of large-scale, open multiagent systems is the lack of mechanisms and tools to guarantee legally valid interactions. Agents are supposed to perform crucial tasks autonomously and on behalf of humans; however, (i) they are not legal persons on their own, and (ii) of a full legal corpus for the virtual world and its inhabitants is yet to come. Therefore, the ultimate responsible for the actions of an agent is its developer. In this paper we address an innovative model of interaction between agents that leads to an increase of the level of security and trust in privacy-aware, interaction-intensive multiagent systems. In particular, after a brief introduction, we focus in Section II on some common problems related to trust and security in real-world, liable interactions. In Section III, we address these problems and outline some abstractions that we use to guarantee a sound level of security and privacy-awareness in interactions with third-party (possibly unknown) agents, whether human or not. Then, in Section IV we describe the design of an API that we implemented to provide developers with a generalpurpose, reusable means to realize secure, trusted and privacyaware multiagent systems. To conclude, in Section V we briefly discuss our model and outline directions of future development.
1	Bandini S.; Manzoni S.; Redaelli S.	Towards the interpretation of emergent spatial patterns through Go game: The case of forest population dynamics	2005	In this paper we present the preliminary results of an ongoing research that aims at supporting ecosystem management in the study of forest systems according to a distributed modeling and simulation approach. The Cellular Automata For Forest Ecosystems (CAFFE) project is an interdisciplinary research involving computer scientists of the Department of Computer Science, Systems and Communication of the University of Milano-Bicocca and urban planners, biologists and ecosystem managers of the System Research Department of Austrian Research Center (ARC). In particular, we focus here on the part of CAFFE project that concerns the design of a method to support the analysis step of simulations of forests according to a distributed approach (such as those based on Cellular Automata or Situated Multi-Agent Systems). To this aim an innovative analysis method inspired by the Chinese Go game is under design. The originality of the approach concerns the detection within system configurations of known patterns whose interpretations are well-known by expert Go players. In this paper, after a brief presentation of the CA-based model of forests, we focus first on the set of Go patterns that we currently studied, then we present some preliminary results on experiments we conducted to validate the proposed approach to spatial patterns interpretation.
	Baldoni M.; Boella G.; Van Der Torre L.	Social roles, from agents back to objects	2005	In this paper we introduce a new view on roles in Object Oriented programming languages. This view is based on an ontological analysis of roles and attributes to roles the following properties: first, a role is always associated not only with an object instance playing the role, but also to another object instance which constitutes the context of the role and which we call institution. Second, the definition of a role depends on the definition of the institution which constitutes its context. Third, this second property allows to endow players of roles with powers to modify the state of the institution and of the other roles of the same institution. As an example of this model of roles in Object Oriented programming languages, we introduce a role construct in Java. We interpret these three features of roles in Java as the fact that, first, roles are implemented as classes which can be instantiated only in presence of an instance of the player of the role and of an instance of the class representing the institution. Second, the definition of a class implementing a role is included in the class definition of the institution the role belongs to. Thirdly, powers are methods of roles which can access private fields and methods of the institution they belong to and of the other roles of the same institution.
	Armano G.; Baroni P.; Cerchi G.; Colombetti M.; Gerevini A.; Mari M.; Poggi A.; Santoro C.; Tramontana E.; Verdicchio M.	ANEMONE - A network of multi-agent platforms for academic communities	2005	This paper presents ANEMONE, a multi-agent platforms network that provides services for the academic community implemented by using the JADE agent development framework. In particular, ANEMONE provides a set of services to support i) academic people in some of their recurrent activities (fix an appointment, organize a meeting and search documents on the Web, ii) students in getting information about courses and iii) information technology people (including students) in getting information on documents and people that may help them to solve their programming problems. Moreover, it also provides a set of system-oriented services for the management of agent platforms and services and for the realization of new types of service.
	Di Stefano A.; Santoro C.	Building semantic agents in eXAT	2005	This paper describes the FIPA-ACL semantics support provided by eXAT, an Erlang-based FIPA-compliant agent platform, developed by the authors, which uses the Erlang language to offer a complete environment for the realization of the behavioral, intelligent and social parts of an agent. eXAT agents can thus exploit a FSM-based abstraction for the behavioral part and an Erlang-based rule processing engine (with its own knowledge base) for the implementation of agent's reasoning process. In this architecture, a SL Semantics Layer is introduced to support FIPA-ACL semantics; such a module is activated during messaging and is able to automatically check and perform the feasibility precondition and rational effect relevant to the communicative act sent or received. This is performed by manipulating the knowledge base of the inference engines of the sender/receiver agent, by checking for the presence of suitable facts and/or asserting other facts, according to FIPAACL semantics specification. ACL semantics handling is also enriched with a reasoning module, charged with the task of providing an "higher-level" messaging, based on agent actions-rather than messages-that, after a semantics-aware reasoning process, are transformed into communicative acts.
1	Mascardi V.; Demergasso D.; Ancona D.	Languages for programming BDI-style agents: An overview	2005	The notion of an intelligent agent as an entity which appears to be the subject of mental attitudes like beliefs, desires and intentions (hence, the BDI acronym) is well known and accepted by many researchers. Besides the definition of various BDI logics, many languages and integrated environments for programming BDI-style agents have been proposed since the early nineties. In this reasoned bibliography, nine languages and implemented systems, namely PRS, dMARS, JACK, JAM, Jadex, AgentSpeak(L), 3APL, Dribble, and Coo-BDI, are discussed and compared. References to other systems and languages based on the BDI model are also provided, as well as pointers to surveys dealing with related topics.
1	Gardelli L.; Viroli M.; Omicini A.	On the role of simulation in the engineering of self-organising systems: Detecting abnormal behaviour in MAS	2005	The intrinsic complexity of self-organising multiagent systems calls for the use of formal methods to predict global system evolutions at early stages of the design process. In particular, we evaluate the use of simulations of high-level system models to analyse properties of a design, which can anticipate the detection of wrong design choices and the tuning of system parameters, so as to rapidly converge to given overall requirements and performance factors. We take abnormal behaviour detection as a case, and devise an architecture inspired by principles from human immune systems. This is based on the TuCSoN infrastructure, which provides agents with an environment of artefacts-most notably coordination artefacts and agent coordination contexts. We then use stochastic π-calculus for specifying and running quantitative, large-scale simulations, which allow us to verify the basic applicability of our ID and obtain a preliminary set of its main working parameters.
	Giordano L.; Martelli A.; Terenziani P.; Bottrighi A.; Montani S.	A temporal approach to the specification and verification of interaction protocols	2005	The paper presents a proposal for the specification and verification of systems of communicating agents in a temporal logic. The proposal is based on a social approach to agent communication, where communication is described in terms of changes to the social state, and interaction protocols are defined by a set of temporal constraints, which specify the effects and preconditions of the communicative actions on the social state. The paper addresses the problem of combining protocols to define new more specialized protocols and exploits this idea in the specification of clinical guidelines.
1	Mamei M.; Zambonelli F.	Pervasive pheromone-based interaction with RFID tags	2005	Despite the growing interest in pheromone-based interaction to enforce adaptive and context-aware coordination, the number of deployed systems exploiting digital pheromones to coordinate the activities of application agents is very limited. In this paper, we present a real-world, low-cost and general-purpose, implementation of pheromone-based interaction. This is realized by making use of RFID tags to store digital pheromones, and by having humans and robots to spread/sense pheromones by properly writing/reading RFID tags populating the surrounding environments. We exemplify and evaluate the effectiveness of our approach via an application for object-tracking. This application allows robots and humans to find "forgot-somewhere" objects by following pheromones trails associated with them. In addition, we sketch further potential applications of our approach in pervasive computing scenarios.
1	Bandini S.; Federici M.L.; Vizzari G.	A methodology for crowd modelling with Situated Cellular Agents	2005	This paper introduces a research activity aimed at the definition of a methodology to provide a solid conceptual framework for the development of simulation systems focused on crowd dynamics and based on the Situated Cellular Agent (SCA) model. After a brief introduction of the SCA Model, the general methodological approach is described. The main steps provide the definition of the spatial abstraction of the environment, the definition of its active elements, and the specification of types of mobile agents, the related behaviours with particular attention to their movement by means of the notion of utility. A case study is also briefly described in order to show how the methodology was applied in the modelling of crowd behaviour in a subway station.
